country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","08-02-2026 09:00:00",28.498571,77.264840,SO2,8,21,13
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","08-02-2026 09:00:00",28.498571,77.264840,OZONE,17,120,39
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","08-02-2026 09:00:00",28.5512005,77.2735737,OZONE,2,52,4
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","08-02-2026 09:00:00",28.656756,77.227234,NO2,12,44,26
India,Delhi,Delhi,"DTU, Delhi - CPCB","08-02-2026 09:00:00",28.7500499,77.1112615,PM10,70,144,114
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","08-02-2026 09:00:00",28.5627763,77.1180053,NO2,42,107,67
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","08-02-2026 09:00:00",28.6811736,77.3025234,PM2.5,77,242,117
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","08-02-2026 09:00:00",21.185571,81.343175,PM10,15,142,44
India,Delhi,Delhi,"Pusa, Delhi - DPCC","08-02-2026 09:00:00",28.639652,77.146275,PM2.5,167,337,256
India,Delhi,Delhi,"Pusa, Delhi - DPCC","08-02-2026 09:00:00",28.639652,77.146275,PM10,153,395,214
India,Delhi,Delhi,"Pusa, Delhi - DPCC","08-02-2026 09:00:00",28.639652,77.146275,NO2,79,136,99
India,Delhi,Delhi,"Pusa, Delhi - IMD","08-02-2026 09:00:00",28.636110,77.173332,PM2.5,70,207,117
India,Delhi,Delhi,"Pusa, Delhi - IMD","08-02-2026 09:00:00",28.636110,77.173332,NO2,43,134,80
India,Delhi,Delhi,"Pusa, Delhi - IMD","08-02-2026 09:00:00",28.636110,77.173332,OZONE,43,301,74
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","08-02-2026 09:00:00",28.563262,77.186937,PM10,120,233,159
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","08-02-2026 09:00:00",28.563262,77.186937,NH3,6,10,8
India,Delhi,Delhi,"Rohini, Delhi - DPCC","08-02-2026 09:00:00",28.732528,77.119920,NH3,7,13,9
India,Delhi,Delhi,"Rohini, Delhi - DPCC","08-02-2026 09:00:00",28.732528,77.119920,CO,30,50,36
India,Delhi,Delhi,"Rohini, Delhi - DPCC","08-02-2026 09:00:00",28.732528,77.119920,OZONE,18,86,49
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","08-02-2026 09:00:00",28.5504249,77.2159377,NH3,4,6,5
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","08-02-2026 09:00:00",28.5504249,77.2159377,SO2,33,35,34
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","08-02-2026 09:00:00",28.5918245,77.2273074,PM10,97,177,139
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","08-02-2026 09:00:00",28.5918245,77.2273074,NO2,40,69,50
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","08-02-2026 09:00:00",28.5918245,77.2273074,CO,56,78,61
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","08-02-2026 09:00:00",28.5918245,77.2273074,OZONE,13,112,20
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","08-02-2026 09:00:00",28.611281,77.237738,PM10,99,175,139
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","08-02-2026 09:00:00",28.611281,77.237738,NH3,17,20,18
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","08-02-2026 09:00:00",28.636429,77.201067,PM2.5,12,243,92
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","08-02-2026 09:00:00",28.636429,77.201067,NO2,57,97,74
India,Delhi,Delhi,"Mundka, Delhi - DPCC","08-02-2026 09:00:00",28.684678,77.076574,PM10,130,356,184
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","08-02-2026 09:00:00",23.243639,72.68994,PM10,80,143,113
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","08-02-2026 09:00:00",23.243639,72.68994,OZONE,2,48,4
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","08-02-2026 09:00:00",23.221714,72.654328,PM2.5,NA,NA,NA
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","08-02-2026 09:00:00",23.221714,72.654328,CO,48,56,51
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","08-02-2026 09:00:00",23.593150,72.372792,PM10,55,177,96
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","08-02-2026 09:00:00",23.593150,72.372792,SO2,4,41,12
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","08-02-2026 09:00:00",22.248853,70.776774,NO2,10,88,41
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","08-02-2026 09:00:00",28.60909,77.0325413,NH3,6,8,7
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","08-02-2026 09:00:00",28.60909,77.0325413,SO2,9,21,15
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","08-02-2026 09:00:00",28.570173,76.933762,NO2,73,106,92
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","08-02-2026 09:00:00",28.570173,76.933762,SO2,18,86,24
India,Delhi,Delhi,"Narela, Delhi - DPCC","08-02-2026 09:00:00",28.822836,77.101981,PM2.5,137,327,243
India,Delhi,Delhi,"Narela, Delhi - DPCC","08-02-2026 09:00:00",28.822836,77.101981,PM10,116,194,156
India,Delhi,Delhi,"Narela, Delhi - DPCC","08-02-2026 09:00:00",28.822836,77.101981,NO2,15,46,25
India,Delhi,Delhi,"Narela, Delhi - DPCC","08-02-2026 09:00:00",28.822836,77.101981,CO,38,60,51
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","08-02-2026 09:00:00",28.567890,77.250515,SO2,2,106,22
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","08-02-2026 09:00:00",28.567890,77.250515,CO,22,136,57
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","08-02-2026 09:00:00",28.567890,77.250515,OZONE,3,125,18
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","08-02-2026 09:00:00",28.530785,77.271255,NO2,51,177,109
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","08-02-2026 09:00:00",28.530785,77.271255,SO2,8,75,16
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","08-02-2026 09:00:00",28.674045,77.131023,PM10,124,193,155
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","08-02-2026 09:00:00",28.674045,77.131023,OZONE,15,67,24
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","08-02-2026 09:00:00",28.710508,77.249485,PM2.5,103,323,209
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","08-02-2026 09:00:00",28.710508,77.249485,OZONE,5,136,40
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","08-02-2026 09:00:00",28.531346,77.190156,CO,22,52,34
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","08-02-2026 09:00:00",28.672342,77.315260,NH3,5,7,6
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","08-02-2026 09:00:00",28.699793,77.165453,CO,36,54,44
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","08-02-2026 09:00:00",23.041137,72.456691,NO2,12,56,32
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","08-02-2026 09:00:00",23.023389,72.515201,NH3,6,12,9
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","08-02-2026 09:00:00",23.023389,72.515201,CO,6,50,24
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","08-02-2026 09:00:00",21.755417,72.139056,OZONE,6,21,8
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","08-02-2026 09:00:00",23.107969,72.574648,PM2.5,68,151,102
